have	1315648 -> had,has,'ve,having,'s,'d,d,ve
return	32658 -> returned,returning,returns
close	32447 -> closed,closer,closing,closest,closes
★idea	31867 -> ideas
subject	31844 -> subjects,subjected,subjecting
allow	31809 -> allowed,allowing,allows
★job	31755 -> jobs
sort	31518 -> sorts,sorted,sorting
★body	31318 -> bodies
★law	31308 -> laws
rate	31260 -> rates,rated,rating
★enough	31118 -> enoughs
fall	31115 -> fell,falling,fallen,falls
★authority	31027 -> authorities
happen	31026 -> happened,happens,happening
matter	30909 -> matters,mattered,mattering
★friend	30828 -> friends
increase	30736 -> increased,increases,increasing
minister	30640 -> ministers,ministering,ministered
produce	30525 -> produced,producing,produces
carry	30411 -> carried,carrying,carries
mind	30385 -> minds,minded,minding
★road	30364 -> roads
★least	30243 -> leasts
claim	30184 -> claims,claimed,claiming
★whole	29990 -> wholes
light	29979 -> lights,lit,lighter,lighting,lightest,lighted
appear	29817 -> appeared,appears,appearing
cause	29806 -> caused,causes,causing
★half	29784 -> halves
low	29735 -> lower,lowest,lows,lowing,lowed
price	29561 -> prices,priced,pricing
centre	29433 -> centres,centred,centring
hope	29392 -> hoped,hopes,hoping
record	29383 -> records,recorded,recording
clear	29307 -> cleared,clearer,clearing,clearest,clears
reason	29163 -> reasons,reasoned,reasoning
★hour	29156 -> hours
process	29049 -> processes,processed,processing
★office	29026 -> offices
war	29018 -> wars,warring,warred
full	28940 -> fuller,fullest
figure	28863 -> figures,figured,figuring
major	28687 -> majors,majoring,majored
★bit	28675 -> bits
experience	28661 -> experiences,experienced,experiencing
consider	28544 -> considered,considering,considers
★person	28501 -> persons
kind	28320 -> kinds,kinder,kindest
love	28267 -> loved,loves,loving
suggest	28185 -> suggested,suggests,suggesting
require	28107 -> required,requires,requiring
let	28096 -> letting,lets
★period	28079 -> periods
expect	27971 -> expected,expecting,expects
deal	27957 -> dealing,dealt,deals
sit	27923 -> sat,sitting,sits
★society	27752 -> societies
★door	27720 -> doors
base	27645 -> based,basing,bases,baser,basest
mother	27566 -> mothers,mothering,mothered
continue	27557 -> continued,continues,continuing
★anything	27454 -> anythings
position	27443 -> positions,positioned,positioning
research	27418 -> researching,researched,researches
labour	27403 -> labours,labouring,laboured
top	27357 -> tops,topped,topping
police	27268 -> policing,policed,polices
share	27202 -> shares,shared,sharing
★city	27098 -> cities
care	27087 -> cared,caring,cares
★community	27026 -> communities
add	26839 -> added,adding,adds
★individual	26808 -> individuals
lose	26695 -> lost,losing,loses
value	26661 -> values,valued,valuing
type	26654 -> types,typed,typing
age	26615 -> ages,aged,ageing
★action	26475 -> actions
win	26459 -> won,winning,wins
stop	26328 -> stopped,stops,stopping
design	26210 -> designed,designs,designing
minute	26208 -> minutes,minuting,minuted,minutest
remain	26203 -> remained,remains,remaining
voice	26132 -> voices,voiced,voicing
★today	25808 -> todays
buy	25801 -> bought,buying,buys
account	25721 -> accounts,accounted,accounting
bad	25714 -> worse,worst
remember	25505 -> remembered,remembering,remembers
black	25417 -> blacks,blacked,blacker,blackest,blacking
★patient	25403 -> patients
land	25201 -> lands,landed,landing
★above	25010 -> aboves
programme	24960 -> programmes,programmed,programming
walk	24949 -> walked,walking,walks
★britain	24925 -> britains
speak	24671 -> spoke,speaking,spoken,speaks,spake
★health	24415 -> healths
white	24388 -> whites,whiter,whitest
receive	24296 -> received,receiving,receives
bank	24263 -> banks,banked,banking
class	24156 -> classes,classed,classing
cover	24107 -> covered,covering,covers
send	24096 -> sent,sending,sends
★industry	24048 -> industries
sense	24030 -> senses,sensed,sensing
★decision	24015 -> decisions
★god	23986 -> gods
hard	23984 -> harder,hardest
father	23940 -> fathers,fathered,fathering
reach	23851 -> reached,reaching,reaches
condition	23823 -> conditions,conditioned,conditioning
sure	23812 -> surest,surer
★moment	23776 -> moments
★future	23730 -> futures
decide	23722 -> decided,deciding,decides
★church	23698 -> churches
cut	23689 -> cuts,cutting
★girl	23636 -> girls
note	23604 -> notes,noted,noting
approach	23590 -> approaches,approached,approaching
★street	23528 -> streets
range	23397 -> ranging,ranges,ranged
develop	23313 -> developed,developing,develops
describe	23289 -> described,describes,describing
charge	23055 -> charges,charged,charging
paper	23043 -> papers,papered,papering
draw	23023 -> drawn,drew,drawing,draws
★themselves	23023 -> theirselves
agree	23010 -> agreed,agrees,agreeing
likely	22991 -> likeliest,likelier
team	22964 -> teams,teamed,teaming
build	22947 -> built,building,builds
★england	22938 -> englands
★century	22934 -> centuries
section	22916 -> sections,sectioned
★south	22877 -> souths
★activity	22873 -> activities
staff	22864 -> staffed,staffs,staves,staffing
understand	22859 -> understood,understanding,understands
★english	22847 -> englishes
rise	22834 -> rose,rising,rises,risen
sound	22810 -> sounds,sounded,sounding,sounder,soundest
trade	22774 -> trades,trading,traded
read	22747 -> reading,reads
break	22634 -> broke,broken,breaking,breaks
involve	22621 -> involved,involving,involves
test	22530 -> tests,tested,testing
★building	22513 -> buildings
★international	22390 -> internationals
rule	22351 -> rules,ruled,ruling
table	22267 -> tables,tabled,tabling
★death	22256 -> deaths
near	22199 -> nearest,nearer,nearing,neared,nears
★standard	22188 -> standards
answer	22113 -> answered,answers,answering
★student	22100 -> students
spend	22049 -> spent,spending,spends
★special	22019 -> specials
date	21915 -> dates,dated,dating
★language	21907 -> languages
★union	21900 -> unions
pass	21889 -> passed,passing,passes
★town	21879 -> towns
★management	21859 -> managements
free	21834 -> freed,freeing,freer,frees,freest
★department	21762 -> departments
demand	21755 -> demands,demanded,demanding
watch	21679 -> watched,watching,watches
short	21657 -> shorter,shortest,shorts
★product	21590 -> products
ground	21550 -> grounds,grounded,grounding
★committee	21547 -> committees
stage	21508 -> stages,staged,staging
practice	21472 -> practices,practicing,practiced
front	21389 -> fronts,fronted,fronting
die	21381 -> died,dying,dies
project	21370 -> projects,projected,projecting
evidence	21369 -> evidenced,evidences,evidencing
create	21339 -> created,creating,creates
★north	21323 -> norths
lie	21278 -> lay,lies,lying,lied,lain
★human	21245 -> humans
attempt	21238 -> attempts,attempted,attempting
★meeting	21209 -> meetings
visit	21201 -> visited,visits,visiting
★west	21042 -> wests
sell	20992 -> sold,selling,sells
letter	20953 -> letters,lettered
★european	20916 -> europeans
field	20832 -> fields,fielding,fielded
★morning	20726 -> mornings
★food	20704 -> foods
★role	20686 -> roles
★game	20585 -> games
★event	20576 -> events
★boy	20492 -> boys
foot	20492 -> feet,footing,footed,foots
★art	20298 -> arts
★thus	20213 -> thuss
★teacher	20173 -> teachers
arm	20093 -> arms,armed,arming
wait	20091 -> waiting,waited,waits
club	20084 -> clubs,clubbed,clubbing
★material	20060 -> materials
award	20038 -> awarded,awards,awarding
★shall	20014 -> sha
drive	19901 -> driving,drove,driven,drives
mark	19847 -> marked,marks,marking
firm	19759 -> firms,firmer,firmed,firmest,firming
accept	19745 -> accepted,accepting,accepts
easy	19726 -> easier,easiest
★history	19699 -> histories
★parent	19666 -> parents
tax	19641 -> taxes,taxed,taxing
★manager	19603 -> managers
amount	19583 -> amounts,amounted,amounting
stay	19578 -> stayed,staying,stays,staid
★situation	19526 -> situations
benefit	19449 -> benefits,benefited,benefiting,benefitted,benefitting
single	19394 -> singles,singled,singling
★training	19284 -> trainings
strong	19277 -> stronger,strongest
sign	19272 -> signed,signs,signing
wish	19226 -> wished,wishes,wishing
apply	19138 -> applied,applies,applying
★central	19113 -> centrals
raise	19089 -> raised,raising,raises
model	19083 -> models,modelled,modelling
pound	19075 -> pounds,pounding,pounded
complete	19072 -> completed,completing,completes
★university	18994 -> universities
★difference	18875 -> differences
miss	18866 -> missed,missing,misses
★american	18814 -> americans
★mrs	18777 -> mrss
learn	18776 -> learned,learning,learnt,learns
step	18732 -> steps,stepped,stepping
structure	18730 -> structures,structured,structuring
bear	18655 -> born,bearing,bears,borne,bore
★quality	18628 -> qualities
air	18595 -> aired,airs,airing
explain	18593 -> explained,explains,explaining
★relationship	18581 -> relationships
★relation	18528 -> relations
★sir	18472 -> sirs
total	18443 -> totalling,totalled,totals
grow	18396 -> grew,grown,growing,grows
★window	18396 -> windows
board	18393 -> boards,boarded,boarding
detail	18355 -> details,detailed,detailing
★wife	18339 -> wives
rest	18319 -> rested,resting,rests
★worker	18133 -> workers
★data	18087 -> datum
★europe	17995 -> europes
list	17986 -> lists,listed,listing
★unit	17887 -> units
★nature	17875 -> natures
★necessary	17864 -> necessaries
true	17845 -> truer,truest,trues,truing,trued
★method	17806 -> methods
★story	17780 -> stories
contain	17736 -> contained,contains,containing
★hospital	17710 -> hospitals
★officer	17641 -> officers
reduce	17598 -> reduced,reducing,reduces
★private	17594 -> privates
accord	17591 -> according,accorded,accords
★movement	17532 -> movements
measure	17503 -> measures,measured,measuring
march	17409 -> marched,marches,marching
contract	17375 -> contracts,contracted,contracting
establish	17334 -> established,establishing,establishes
★computer	17306 -> computers
fire	17239 -> fired,fires,firing
★east	17228 -> easts
★king	17183 -> kings
scheme	17144 -> schemes,scheming,schemed
press	17116 -> pressed,pressing,presses
plant	17105 -> plants,planted,planting
feature	17056 -> features,featured,featuring
★former	17034 -> formers
★president	17022 -> presidents
wall	16999 -> walls,walled,walling
join	16982 -> joined,joining,joins
wide	16872 -> wider,widest,wides
bed	16789 -> beds,bedded,bedding
fine	16789 -> finest,fined,fines,finer,fining
★french	16789 -> frenches
supply	16760 -> supplied,supplies,supplying
bill	16685 -> bills,billed,billing
picture	16669 -> pictures,pictured,picturing
achieve	16653 -> achieved,achieving,achieves
seek	16559 -> sought,seeking,seeks
★property	16558 -> properties
smile	16555 -> smiled,smiling,smiles
★chapter	16517 -> chapters
shop	16510 -> shops,shopping,shopped
★director	16465 -> directors
colour	16408 -> colours,coloured,colouring
choose	16370 -> chosen,chose,choosing,chooses
★theory	16363 -> theories
★leader	16346 -> leaders
★cos	16285 -> coss
attack	16272 -> attacks,attacked,attacking
★final	16188 -> finals
★application	16134 -> applications
★secretary	16090 -> secretaries
★production	16041 -> productions
★son	15993 -> sons
poor	15961 -> poorer,poorest
★operation	15949 -> operations
★agreement	15913 -> agreements
site	15911 -> sites,sited,siting
★opportunity	15857 -> opportunities
fail	15847 -> failed,failing,fails
direct	15825 -> directed,directing,directs
chance	15805 -> chances,chanced,chancing
★recent	15690 -> recents
★official	15664 -> officials
wrong	15658 -> wrongs,wronging,wronged
serve	15648 -> served,serving,serves
simple	15626 -> simplest,simpler
★security	15581 -> securities
source	15579 -> sources,sourced,sourcing
★election	15562 -> elections
occur	15415 -> occurred,occurs,occurring
represent	15334 -> represented,represents,representing
★loss	15264 -> losses
green	15189 -> greens,greener,greenest
★following	15144 -> followings
★animal	15113 -> animals
★david	15056 -> davids
influence	15012 -> influenced,influences,influencing
aim	15009 -> aims,aimed,aiming
red	15000 -> reds,redder,reddest
forward	14983 -> forwarded,forwards,forwarding
notice	14960 -> noticed,notices,noticing
purpose	14945 -> purposes,purposing,purposed
kill	14941 -> killed,killing,kills
★current	14903 -> currents
catch	14900 -> caught,catching,catches
★royal	14887 -> royals
★factor	14865 -> factors
wear	14858 -> wearing,wore,worn,wears
★music	14851 -> musics
concern	14835 -> concerns,concerned,concerning
★heart	14766 -> hearts
risk	14731 -> risks,risked,risking
grant	14720 -> granted,grants,granting
pattern	14717 -> patterns,patterning,patterned
discuss	14716 -> discussed,discussing,discusses
doubt	14701 -> doubts,doubted,doubting
★mr.	14687 -> mr.s
pick	14663 -> picked,picking,picks
★april	14626 -> aprils
couple	14620 -> couples,coupled,coupling
link	14595 -> links,linked,linking
argue	14574 -> argued,argues,arguing
regard	14570 -> regarded,regards,regarding
★evening	14569 -> evenings
page	14559 -> pages,paging,paged
prove	14551 -> proved,proving,proves,proven
key	14546 -> keys,keyed,keying
doctor	14532 -> doctors,doctoring,doctored
★performance	14514 -> performances
pressure	14511 -> pressures,pressured,pressuring
★population	14478 -> populations
★june	14471 -> junes
★response	14454 -> responses
appeal	14436 -> appeals,appealed,appealing
fear	14416 -> fears,feared,fearing
function	14401 -> functions,functioning,functioned
size	14391 -> sizes,sized,sizing
piece	14382 -> pieces,piecing,pieced
knowledge	14365 -> knowledges,knowledge
please	14360 -> pleased,pleases,pleasing
★environment	14357 -> environments
garden	14357 -> gardens,gardening
★despite	14354 -> despites
film	14354 -> films,filming,filmed
space	14237 -> spaces,spaced,spacing
introduce	14218 -> introduced,introducing,introduces
fund	14199 -> funds,funded,funding
enjoy	14164 -> enjoyed,enjoying,enjoys
★success	14150 -> successes
★analysis	14148 -> analyses
★tree	14130 -> trees
★hair	14101 -> hairs
station	14094 -> stations,stationed,stationing
contact	14038 -> contacts,contacted,contacting
ensure	14021 -> ensuring,ensured,ensures
★capital	14013 -> capitals
★region	14001 -> regions
train	13970 -> trained,trains,training
match	13961 -> matches,matched,matching
park	13901 -> parks,parked,parking
enter	13867 -> entered,entering,enters
★statement	13862 -> statements
★association	13853 -> associations
★village	13752 -> villages
eat	13741 -> eating,ate,eaten,eats
★principle	13737 -> principles
★inside	13735 -> insides
wonder	13719 -> wondered,wondering,wonders
★player	13718 -> players
★per	13664 -> pers
express	13656 -> expressed,expressing,expresses
drink	13645 -> drinks,drinking,drank,drunk
fight	13619 -> fighting,fought,fights
★attention	13564 -> attentions
refer	13560 -> referred,refers,referring
arrive	13557 -> arrived,arriving,arrives
choice	13557 -> choices,choicer,choicest
pull	13468 -> pulled,pulling,pulls
dark	13462 -> darker,darkest
machine	13458 -> machines,machined,machining
★income	13429 -> incomes
fit	13415 -> fitted,fits,fitting,fitter,fittest
★hotel	13393 -> hotels
★sea	13385 -> seas
★thought	13358 -> thoughts
cup	13348 -> cups,cupped,cupping
affect	13341 -> affected,affecting,affects
★organisation	13330 -> organisations
relate	13271 -> related,relating,relates
finish	13253 -> finished,finishing,finishes
★professional	13253 -> professionals
★technology	13226 -> technologies
★german	13183 -> germans
lack	13179 -> lacking,lacked,lacks
nice	13172 -> nicer,nicest
damage	13121 -> damages,damaged,damaging
resource	13092 -> resources,resourced,resourcing
identify	13085 -> identified,identifying,identifies
★effort	13070 -> efforts
★cell	13048 -> cells
vote	13037 -> votes,voted,voting
★scotland	13033 -> scotlands
review	12995 -> reviewed,reviews,reviewing
★treatment	12971 -> treatments
★difficulty	12969 -> difficulties
★energy	12965 -> energies
drop	12959 -> dropped,drops,dropping
release	12940 -> released,releases,releasing
★modern	12935 -> moderns
★male	12889 -> males
★county	12876 -> counties
★growth	12872 -> growths
★degree	12863 -> degrees
provision	12818 -> provisions,provisioning,provisioned
compare	12812 -> compared,comparing,compares
★defence	12765 -> defences
limit	12755 -> limited,limits,limiting
manage	12724 -> managed,managing,manages
style	12674 -> styles,styled,styling
★behaviour	12673 -> behaviours
exercise	12671 -> exercises,exercised,exercising
★mile	12667 -> miles
obtain	12652 -> obtained,obtaining,obtains
hall	12647 -> halls,halling
task	12638 -> tasks,tasked
★college	12624 -> colleges
★middle	12614 -> middles
commission	12609 -> commissioned,commissions,commissioning
★means	12609 -> meanss
thank	12575 -> thanked,thanking,thanks
★science	12553 -> sciences
announce	12514 -> announced,announcing,announces
skill	12492 -> skills,skilled
happy	12488 -> happier,happiest
★user	12463 -> users
travel	12444 -> travelling,travelled,travels
race	12402 -> racing,races,raced
★lady	12360 -> ladies
★longer	12356 -> longers
★investment	12352 -> investments
peter	12341 -> peters,petered,petering
respect	12323 -> respects,respected,respecting
trust	12311 -> trusts,trusted,trusting
save	12308 -> saved,saving,saves
★character	12296 -> characters
dog	12281 -> dogs,dogged,dogging
★economy	12274 -> economies
prime	12265 -> primed,priming,primes
horse	12230 -> horses,horsing,horsed
depend	12229 -> depends,depending,depended
gain	12220 -> gained,gains,gaining
mention	12216 -> mentioned,mentions,mentioning
treat	12213 -> treated,treating,treats
maintain	12195 -> maintained,maintaining,maintains
★normal	12191 -> normals
check	12173 -> checked,checking,checks
cold	12148 -> colder,colds,coldest
cross	12139 -> crossed,crossing,crosses,crosser,crossest
touch	12129 -> touched,touching,touches
★army	12116 -> armies
★feeling	12112 -> feelings
★worth	12109 -> worths
season	12104 -> seasons,seasoning,seasoned
post	12102 -> posts,posted,posting
indicate	12084 -> indicated,indicates,indicating
floor	12073 -> floors,floored,flooring
publish	12070 -> published,publishing,publishes
★chief	12067 -> chiefs
title	12031 -> titles,titled
strike	12029 -> struck,strikes,striking,stricken
★argument	12000 -> arguments
suffer	12000 -> suffered,suffering,suffers
ring	11986 -> rang,rings,ringing,rung
★responsibility	11973 -> responsibilities
comment	11965 -> comments,commented,commenting
brother	11942 -> brothers,brethren
★chairman	11935 -> chairmen
hit	11923 -> hits,hitting
judge	11872 -> judges,judged,judging
deep	11854 -> deeper,deepest,deeps
★element	11836 -> elements
★july	11833 -> julies
profit	11825 -> profits,profited,profiting
forget	11809 -> forgotten,forgot,forgetting,forgets
avoid	11787 -> avoided,avoiding,avoids
separate	11772 -> separated,separating,separates
determine	11771 -> determined,determining,determines
address	11738 -> addressed,addresses,addressing
★soviet	11700 -> soviets
campaign	11696 -> campaigns,campaigning,campaigned
husband	11673 -> husbands,husbanding,husbanded
appropriate	11663 -> appropriated,appropriates,appropriating
★glass	11662 -> glasses
★anyway	11650 -> anyways
★duty	11648 -> duties
tend	11622 -> tended,tends,tending
suppose	11555 -> supposed,supposing,supposes
★discussion	11511 -> discussions
★aspect	11482 -> aspects
object	11479 -> objects,objected,objecting
transfer	11474 -> transferred,transfers,transferring
seat	11453 -> seats,seated,seating
★original	11436 -> originals
fish	11403 -> fished,fishing,fishes
★basic	11377 -> basics
access	11362 -> accessed,accessing,accesses
box	11347 -> boxes,boxed,boxing
★customer	11323 -> customers
★institution	11312 -> institutions
★specific	11290 -> specifics
★military	11279 -> militaries
★summer	11279 -> summers
remove	11278 -> removed,removing,removes
throw	11278 -> thrown,threw,throwing,throws
fast	11269 -> faster,fastest,fasting,fasted,fasts
blue	11261 -> blues,bluer,bluest,blueing,blued
★paul	11255 -> pauls
★potential	11254 -> potentials
★daughter	11203 -> daughters
sun	11184 -> suns,sunning,sunned
exist	11176 -> exists,existed,existing
leg	11175 -> legs,legging,legged
encourage	11167 -> encouraged,encourages,encouraging
★conference	11135 -> conferences
★division	11107 -> divisions
stone	11097 -> stones,stoned,stoning
★river	11094 -> rivers
reflect	11079 -> reflected,reflects,reflecting
listen	11071 -> listening,listened,listens
★procedure	11021 -> procedures
★proposal	11020 -> proposals
survey	11020 -> surveys,surveyed,surveying
oil	11019 -> oils,oiled,oiling
★independent	11018 -> independents
exchange	11008 -> exchanges,exchanged,exchanging
★baby	10957 -> babies
★sector	10954 -> sectors
star	10954 -> stars,starring,starred
assume	10941 -> assumed,assuming,assumes
aid	10905 -> aids,aided,aiding
improve	10898 -> improved,improving,improves
image	10885 -> images,imaging,imaged
admit	10878 -> admitted,admits,admitting
display	10870 -> displayed,displays,displaying
replace	10856 -> replaced,replacing,replaces
lay	10836 -> laid,laying,lays
★northern	10832 -> northerns
★circumstance	10816 -> circumstances
prepare	10791 -> prepared,preparing,prepares
laugh	10779 -> laughed,laughing,laughs
sorry	10769 -> sorrier,sorriest
★speaker	10765 -> speakers
★client	10752 -> clients
average	10720 -> averaged,averages,averaging
instance	10687 -> instances,instanced
balance	10673 -> balanced,balances,balancing
★disease	10672 -> diseases
★employment	10655 -> employments
★direction	10654 -> directions
fill	10651 -> filled,filling,fills
★addition	10647 -> additions
★goal	10630 -> goals
★attitude	10624 -> attitudes
surface	10615 -> surfaces,surfaced,surfacing
bar	10613 -> bars,barred,barring
push	10576 -> pushed,pushing,pushes
refuse	10558 -> refused,refusing,refuses
intend	10552 -> intended,intends,intending
★october	10533 -> octobers
trouble	10504 -> troubles,troubled,troubling
search	10489 -> searching,searched,searches
holiday	10487 -> holidays,holidaying,holidayed
★technique	10480 -> techniques
★working	10432 -> workings
document	10423 -> documents,documented,documenting
★version	10412 -> versions
★pupil	10408 -> pupils
prevent	10388 -> prevented,preventing,prevents
target	10387 -> targets,targeted,targeting,targetted,targetting
★item	10384 -> items
★popular	10376 -> populars
★affair	10372 -> affairs
wind	10370 -> winds,wound,winding,winded
★ability	10369 -> abilities
copy	10360 -> copies,copied,copying
reference	10356 -> references,referenced,referencing
★sales	10342 -> saless
drug	10335 -> drugs,drugged,drugging
★september	10320 -> septembers
reply	10309 -> replied,replies,replying
fly	10250 -> flew,flying,flies,flown,flied
discover	10242 -> discovered,discovering,discovers
★alternative	10221 -> alternatives
heavy	10216 -> heavier,heaviest,heavies
except	10212 -> excepted,excepting,excepts
★library	10212 -> libraries
culture	10189 -> cultures,cultured,culturing
rock	10172 -> rocks,rocked,rocking
teach	10172 -> taught,teaching,teaches
stock	10171 -> stocks,stocked,stocking
operate	10129 -> operating,operated,operates
advantage	10126 -> advantages,advantaged
reveal	10117 -> revealed,reveals,revealing
★variety	10113 -> varieties
★january	10098 -> januaries
ready	10092 -> readies,readying,readied,readier
flat	10073 -> flats,flatter,flattest
challenge	10071 -> challenged,challenges,challenging
sleep	10067 -> slept,sleeping,sleeps
★competition	10064 -> competitions
★parliament	10055 -> parliaments
chair	10052 -> chairs,chaired,chairing
shape	10013 -> shapes,shaped,shaping
★majority	9994 -> majorities
enable	9983 -> enables,enabled,enabling
★james	9980 -> jamess
★extent	9955 -> extents
complex	9940 -> complexes,complexed
★memory	9918 -> memories
★television	9914 -> televisions
★scottish	9907 -> scottishes
★payment	9858 -> payments
file	9827 -> files,filed,filing
★sunday	9819 -> sundays
blood	9809 -> bloods,blooded,blooding
★western	9809 -> westerns
★female	9742 -> females
★extra	9741 -> extras
sentence	9734 -> sentences,sentenced,sentencing
★facility	9714 -> facilities
straight	9699 -> straighter,straights,straightest
★york	9685 -> yorks
double	9674 -> doubled,doubles,doubling
★context	9671 -> contexts
dress	9656 -> dressed,dressing,dresses
budget	9653 -> budgets,budgeted,budgeting
edge	9653 -> edges,edged,edging
★district	9641 -> districts
finance	9578 -> financed,finances,financing
★ireland	9569 -> irelands
★importance	9568 -> importances
★planning	9564 -> plannings
extend	9553 -> extended,extending,extends
phone	9545 -> phoned,phones,phoning
fair	9543 -> fairs,fairer,fairest
associate	9535 -> associated,associates,associating
★collection	9532 -> collections
★communication	9528 -> communications
article	9520 -> articles,articled
mouth	9509 -> mouths,mouthed,mouthing
★agency	9495 -> agencies
★primary	9494 -> primaries
arise	9493 -> arising,arises,arose,arisen
transport	9477 -> transported,transporting,transports
★bird	9466 -> birds
card	9462 -> cards,carded,carding
weight	9461 -> weights,weighted,weighting
